domain_id,role,opponent,opponent_seen,agent,utility,opp_utility,nash,score,agreement
domain00,B,TimeBasedConcedingNegotiator,True,BOA_Boulware,0.3401933165,0.5302879349999999,0.1804004113075864,0.29225544494227595,True
domain00,B,BOA_Boulware,True,AspirationNegotiator,0.5093099198,0.3576885859,0.1821743449981044,0.4111692473594313,True
domain00,B,BOA_Boulware,True,BoulwareTBNegotiator,0.5105278946,0.16376388800000002,0.08360603295215022,0.3824513361056451,True
domain00,B,BOA_Boulware,True,NaiveTitForTatNegotiator,1.0,0.2273268976,0.2273268976,0.76819806928,True
domain00,B,BOA_Boulware,True,TimeBasedConcedingNegotiator,0.5105278946,0.16376388800000002,0.08360603295215022,0.3824513361056451,True
domain00,B,BOA_Boulware,True,BOA_Boulware,0.1748468634,0.5584888540999999,0.09765002438324522,0.15168781169497356,True
domain00,B,LinearTBNegotiator,True,AspirationNegotiator,0.7254337484000001,0.5205307999000001,0.37761060932910745,0.6210868066787323,True
domain00,B,LinearTBNegotiator,True,BoulwareTBNegotiator,0.6845845891,0.5309496838,0.36347997111699787,0.5882532037050994,True
domain00,B,LinearTBNegotiator,True,NaiveTitForTatNegotiator,0.4,0.4,0.16000000000000003,0.32799999999999996,False
domain00,B,LinearTBNegotiator,True,TimeBasedConcedingNegotiator,0.6845845891,0.5309496838,0.36347997111699787,0.5882532037050994,True
domain00,B,LinearTBNegotiator,True,BOA_Boulware,0.7475363352,0.4951597403,0.3701498976024457,0.6343204039207336,True
domain00,B,ConcederTBNegotiator,True,AspirationNegotiator,0.7859659249000001,0.4451269795,0.34985463814066087,0.6551325388721982,True
domain00,B,ConcederTBNegotiator,True,BoulwareTBNegotiator,0.7654298788,0.4357162579,0.3335102424755866,0.6358539879026759,True
domain00,B,ConcederTBNegotiator,True,NaiveTitForTatNegotiator,0.7859659249000001,0.4451269795,0.34985463814066087,0.6551325388721982,True
domain00,B,ConcederTBNegotiator,True,TimeBasedConcedingNegotiator,0.7654298788,0.4357162579,0.3335102424755866,0.6358539879026759,True
domain00,B,ConcederTBNegotiator,True,BOA_Boulware,0.7760331616,0.4305938455,0.33415510328886694,0.6434697441066601,True
domain00,B,BOA_Hardliner,True,AspirationNegotiator,0.4224305148,0.37658380630000005,0.1590804911606525,0.34342550770819574,True
domain00,B,BOA_Hardliner,True,BoulwareTBNegotiator,0.4233345771,0.4323011131,0.18300800889404778,0.3512366066382143,True
domain00,B,BOA_Hardliner,True,NaiveTitForTatNegotiator,1.0,0.2273268976,0.2273268976,0.76819806928,True
domain00,B,BOA_Hardliner,True,TimeBasedConcedingNegotiator,0.4233345771,0.4323011131,0.18300800889404778,0.3512366066382143,True
domain00,B,BOA_Hardliner,True,BOA_Boulware,0.27809171549999995,0.8239822468000001,0.22914263655415637,0.2634069918162468,True
domain00,B,BOA_Conceder,True,AspirationNegotiator,0.7475363352,0.4951597403,0.3701498976024457,0.6343204039207336,True
domain00,B,BOA_Conceder,True,BoulwareTBNegotiator,0.7475363352,0.4951597403,0.3701498976024457,0.6343204039207336,True
domain00,B,BOA_Conceder,True,NaiveTitForTatNegotiator,0.746161014,0.5248255863,0.3916043916467525,0.6397940272940258,True
