num_issues,total_values,avg_values_per_issue,max_values_per_issue,min_values_per_issue,log_outcome_space_size,reserved_value,max_weight,min_weight,weight_std,weight_entropy,avg_value_std,weight_concentration,first_offer_utility,e,opponent_type,agent_utility,opponent_utility,nash_product,score,agreement_reached,rounds,domain_id,role
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4,0.5,NiceNegotiator,1.0,0.18919956379999997,0.18919956379999997,0.7567598691399999,True,1,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4,0.7,NiceNegotiator,1.0,0.18919956379999997,0.18919956379999997,0.7567598691399999,True,1,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4,1.0,NiceNegotiator,0.9953,0.1920821438,0.19117935772414,0.754063807317242,True,1,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4,1.5,NiceNegotiator,0.9953,0.1920821438,0.19117935772414,0.754063807317242,True,1,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4,2.0,NiceNegotiator,0.9414191279999999,0.19724558519999996,0.18569076682083366,0.71470061964625,True,1,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.5789719104000001,0.05,RandomNegotiator,0.4,0.4,0.16000000000000003,0.32799999999999996,False,2,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.48592406220000006,0.1,RandomNegotiator,1.0,0.18919956379999997,0.18919956379999997,0.7567598691399999,True,4,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4,0.2,RandomNegotiator,1.0,0.18919956379999997,0.18919956379999997,0.7567598691399999,True,1,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4,0.3,RandomNegotiator,1.0,0.18919956379999997,0.18919956379999997,0.7567598691399999,True,1,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.158704304,0.5,RandomNegotiator,0.4,0.4,0.16000000000000003,0.32799999999999996,False,2,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.3958333403,0.7,RandomNegotiator,0.4,0.4,0.16000000000000003,0.32799999999999996,False,2,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.7257041698000001,1.0,RandomNegotiator,0.4,0.4,0.16000000000000003,0.32799999999999996,False,2,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.34436532840000006,1.5,RandomNegotiator,0.4,0.4,0.16000000000000003,0.32799999999999996,False,2,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.6258182584,2.0,RandomNegotiator,0.8811285701,0.6833921438,0.6021563424840676,0.7974369018152203,True,4,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.05,ToughNegotiator,0.4277250184,0.9999999999999999,0.42772501839999993,0.42772501839999993,True,96,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.1,ToughNegotiator,0.4277250184,0.9999999999999999,0.42772501839999993,0.42772501839999993,True,96,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.2,ToughNegotiator,0.4277250184,0.9999999999999999,0.42772501839999993,0.42772501839999993,True,96,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.3,ToughNegotiator,0.4277250184,0.9999999999999999,0.42772501839999993,0.42772501839999993,True,96,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.5,ToughNegotiator,0.4277250184,0.9999999999999999,0.42772501839999993,0.42772501839999993,True,96,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.7,ToughNegotiator,0.4277250184,0.9999999999999999,0.42772501839999993,0.42772501839999993,True,96,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,1.0,ToughNegotiator,0.4277250184,0.9999999999999999,0.42772501839999993,0.42772501839999993,True,96,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,1.5,ToughNegotiator,0.4277250184,0.9999999999999999,0.42772501839999993,0.42772501839999993,True,96,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,2.0,ToughNegotiator,0.4277250184,0.9999999999999999,0.42772501839999993,0.42772501839999993,True,96,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.05,SimpleTitForTatNegotiator,0.47107400089999996,0.5070915568000001,0.2388776484843856,0.4014150951753156,True,96,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.1,SimpleTitForTatNegotiator,0.7373033541,0.8104001198,0.5975107264915819,0.6953655658174747,True,93,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.2,SimpleTitForTatNegotiator,0.8245260221,0.7132430532,0.5880874574454548,0.7535944527036365,True,79,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.3,SimpleTitForTatNegotiator,0.7356236211,0.8303376438000001,0.610815984267798,0.6981813300503394,True,79,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.5,SimpleTitForTatNegotiator,0.7341885701,0.8178721438000001,0.6004723797811437,0.6940737130043431,True,68,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.7,SimpleTitForTatNegotiator,0.7356236211,0.8303376438000001,0.610815984267798,0.6981813300503394,True,57,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,1.0,SimpleTitForTatNegotiator,0.8815216781,0.7006075878,0.6176007764870491,0.8023454076161147,True,20,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,1.5,SimpleTitForTatNegotiator,0.8245260221,0.7132430532,0.5880874574454548,0.7535944527036365,True,16,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,2.0,SimpleTitForTatNegotiator,0.7341885701,0.8178721438000001,0.6004723797811437,0.6940737130043431,True,20,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.05,TopFractionNegotiator,0.3025556731,0.9051974014,0.2738726090689479,0.29395075389068437,True,96,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.1,TopFractionNegotiator,0.7373033541,0.8104001198,0.5975107264915819,0.6953655658174747,True,93,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.2,TopFractionNegotiator,0.7341885701,0.8178721438000001,0.6004723797811437,0.6940737130043431,True,86,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.3,TopFractionNegotiator,0.7356236211,0.8303376438000001,0.610815984267798,0.6981813300503394,True,79,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.5,TopFractionNegotiator,0.7341885701,0.8178721438000001,0.6004723797811437,0.6940737130043431,True,68,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.7,TopFractionNegotiator,0.7356236211,0.8303376438000001,0.610815984267798,0.6981813300503394,True,57,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,1.0,TopFractionNegotiator,0.7388885701000001,0.8149895638,0.6021864734426048,0.6978779411027815,True,44,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,1.5,TopFractionNegotiator,0.7388885701000001,0.8149895638,0.6021864734426048,0.6978779411027815,True,29,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,2.0,TopFractionNegotiator,0.7341885701,0.8178721438000001,0.6004723797811437,0.6940737130043431,True,20,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.05,FirstOfferOrientedTBNegotiator,0.8858285701,0.6805095638,0.6028148138403288,0.8009244432220987,True,93,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.1,FirstOfferOrientedTBNegotiator,0.7721085701,0.6814476092,0.5261515391374756,0.6983214608112427,True,92,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.2,FirstOfferOrientedTBNegotiator,0.7341885701,0.8178721438000001,0.6004723797811437,0.6940737130043431,True,86,domain40,A
