domain_id,role,opponent,opponent_seen,score,utility,opp_utility,nash,agreement,rounds,predicted_e
domain04,B,ToughNegotiator,False,0.32799999999999996,0.4,0.4,0.16000000000000003,False,100,3.0
domain04,B,SimpleTitForTatNegotiator,False,0.32799999999999996,0.4,0.4,0.16000000000000003,False,100,3.0
domain04,B,TopFractionNegotiator,False,0.32799999999999996,0.4,0.4,0.16000000000000003,False,100,0.4548051059246063
domain04,B,FirstOfferOrientedTBNegotiator,False,0.45954687450107434,0.5387062090999999,0.5101885885,0.27484176043691483,True,97,2.0
domain05,A,AspirationNegotiator,True,0.5106644515470702,0.5419257741999999,0.80771461,0.437721365356901,True,77,3.0
domain05,A,BoulwareTBNegotiator,True,0.4371160489160719,0.4606608078,0.8296305475,0.38217827818690625,True,75,3.0
domain05,A,NaiveTitForTatNegotiator,True,0.32799999999999996,0.4,0.4,0.16000000000000003,False,100,0.44118431210517883
domain05,A,TimeBasedConcedingNegotiator,True,0.4371160489160719,0.4606608078,0.8296305475,0.38217827818690625,True,75,3.0
domain05,A,BOA_Boulware,True,0.43606761453490533,0.4636610258,0.8016265495,0.3716829882496845,True,82,3.0
domain05,A,LinearTBNegotiator,True,0.5836322875163327,0.6792673869999999,0.5306948765,0.3604837220544427,True,80,0.44118431210517883
domain05,A,ConcederTBNegotiator,True,0.6196715766457211,0.7424609992,0.44872784480000005,0.33316292401907055,True,73,0.41822710633277893
domain05,A,BOA_Hardliner,True,0.5843183065744589,0.6291952333999999,0.762252242,0.4796054773148632,True,100,3.0
domain05,A,BOA_Conceder,True,0.5023847129631167,0.5919685631999999,0.4955596417,0.29335572907705576,True,86,0.44118431210517883
domain05,A,BOA_Moderate,True,0.5953671374971636,0.6607068488,0.6703545028,0.4429078111238787,True,76,1.3235529363155365
domain05,A,MiCRONegotiator,False,0.32799999999999996,0.4,0.4,0.16000000000000003,False,100,0.44118431210517883
domain05,A,NiceNegotiator,False,0.8204541543999998,0.9999999999999999,0.401513848,0.40151384799999995,True,1,0.5
